id_venta,fecha,ciudad,categoria,producto,cantidad,precio_unitario,ingresos,canal
38,2024-10-02,Bogotá,Papelería,Kit marcadores x12,1,35000,35000,En línea
39,2024-11-27,Bucaramanga,Tecnología,Teclado mecánico Redragon,1,210000,210000,En línea
40,2025-10-20,Pereira,Muebles,Lámpara de pie LED,1,180000,180000,Tienda física
41,2025-12-18,Bogotá,Papelería,Resma papel A4,3,22000,66000,En línea
42,2024-06-23,Medellín,Muebles,Escritorio en L,1,1150000,1150000,Tienda física
43,2024-07-31,Medellín,Hogar,Sanduchera Black+Decker,2,120000,240000,Tienda física
44,2025-12-30,Bogotá,Muebles,Lámpara de pie LED,3,180000,540000,En línea
45,2025-12-18,Barranquilla,Muebles,Lámpara de pie LED,2,180000,360000,En línea
46,2025-03-13,Bogotá,Muebles,Silla ergonómica,4,890000,3560000,Tienda física
47,2024-03-09,Cali,Tecnología,Audífonos Sony WH-CH520,2,320000,640000,En línea
48,2024-04-12,Cali,Papelería,Kit marcadores x12,1,35000,35000,Tienda física
49,2024-11-25,Pereira,Muebles,Lámpara de pie LED,2,180000,360000,En línea
50,2025-06-25,Cali,Tecnología,Teclado mecánico Redragon,1,210000,210000,En línea
51,2024-09-13,Medellín,Hogar,Cafetera Oster 12 tazas,1,240000,240000,Tienda física
52,2025-12-30,Bogotá,Tecnología,"Monitor Samsung 24""",1,780000,780000,Tienda física
53,2025-11-03,Bogotá,Papelería,Kit marcadores x12,1,35000,35000,Tienda física
54,2025-06-16,Cali,Hogar,Licuadora Oster Pro,5,310000,1550000,En línea
55,2025-09-14,Pereira,Tecnología,Teclado mecánico Redragon,2,210000,420000,En línea
56,2024-04-08,Bogotá,Tecnología,"Monitor Samsung 24""",2,780000,1560000,Tienda física
57,2025-06-26,Bogotá,Tecnología,Audífonos Sony WH-CH520,2,320000,640000,En línea
58,2025-11-17,Medellín,Hogar,Sanduchera Black+Decker,1,120000,120000,En línea
59,2024-01-03,Bogotá,Hogar,Cafetera Oster 12 tazas,2,240000,480000,Tienda física
60,2025-02-11,Bogotá,Muebles,Escritorio en L,1,1150000,1150000,Tienda física
61,2025-11-17,Cali,Muebles,Lámpara de pie LED,3,180000,540000,En línea
62,2024-04-18,Cartagena,Tecnología,Mouse Logitech M185,4,65000,260000,Tienda física
63,2025-11-14,Bogotá,Tecnología,Audífonos Sony WH-CH520,1,320000,320000,Tienda física
64,2025-11-05,Bogotá,Muebles,Escritorio en L,2,1150000,2300000,Tienda física
65,2025-10-22,Bucaramanga,Papelería,Cuaderno argollado,3,18000,54000,En línea
66,2025-07-10,Cartagena,Tecnología,Mouse Logitech M185,4,65000,260000,Tienda física
67,2025-09-09,Bogotá,Tecnología,Teclado mecánico Redragon,3,210000,630000,Tienda física
68,2025-10-18,Medellín,Tecnología,Teclado mecánico Redragon,3,210000,630000,En línea
69,2025-08-26,Bogotá,Tecnología,Teclado mecánico Redragon,1,210000,210000,En línea
70,2025-10-22,Cali,Papelería,Resma papel A4,1,22000,22000,En línea
71,2025-12-23,Bogotá,Muebles,Lámpara de pie LED,4,180000,720000,Tienda física
72,2024-05-29,Bogotá,Papelería,Resma papel A4,1,22000,22000,En línea
73,2025-07-04,Medellín,Tecnología,Mouse Logitech M185,2,65000,130000,En línea
74,2025-03-06,Bogotá,Tecnología,Teclado mecánico Redragon,3,210000,630000,Tienda física
75,2025-01-30,Cali,Hogar,Cafetera Oster 12 tazas,3,240000,720000,En línea
76,2024-02-29,Medellín,Hogar,Licuadora Oster Pro,1,310000,310000,Tienda física
77,2025-06-27,Medellín,Tecnología,Mouse Logitech M185,1,65000,65000,En línea
78,2024-08-26,Pereira,Tecnología,Audífonos Sony WH-CH520,1,320000,320000,Tienda física
79,2025-11-16,Cali,Hogar,Licuadora Oster Pro,1,310000,310000,En línea
80,2024-08-19,Cali,Muebles,Escritorio en L,2,1150000,2300000,En línea
81,2024-12-07,Bucaramanga,Tecnología,Audífonos Sony WH-CH520,2,320000,640000,Tienda física
82,2024-05-22,Cali,Tecnología,"Monitor Samsung 24""",2,780000,1560000,En línea
83,2025-09-15,Bogotá,Hogar,Cafetera Oster 12 tazas,2,240000,480000,En línea
84,2024-01-19,Cartagena,Tecnología,Teclado mecánico Redragon,2,210000,420000,En línea
85,2024-11-23,Barranquilla,Hogar,Licuadora Oster Pro,1,310000,310000,En línea
86,2024-07-15,Barranquilla,Hogar,Licuadora Oster Pro,1,310000,310000,Tienda física
87,2024-03-31,Pereira,Muebles,Escritorio en L,1,1150000,1150000,En línea
88,2024-02-10,Medellín,Tecnología,Teclado mecánico Redragon,3,210000,630000,Tienda física
89,2025-05-21,Pereira,Papelería,Cuaderno argollado,2,18000,36000,Tienda física
90,2025-04-06,Cartagena,Hogar,Cafetera Oster 12 tazas,2,240000,480000,En línea
91,2025-11-13,Bogotá,Hogar,Cafetera Oster 12 tazas,2,240000,480000,En línea
92,2025-04-27,Cali,Hogar,Cafetera Oster 12 tazas,2,240000,480000,En línea
93,2024-03-06,Medellín,Tecnología,Teclado mecánico Redragon,1,210000,210000,En línea
94,2024-04-27,Barranquilla,Tecnología,Teclado mecánico Redragon,2,210000,420000,En línea
95,2024-11-18,Bogotá,Muebles,Lámpara de pie LED,1,180000,180000,En línea
96,2025-11-17,Cartagena,Muebles,Lámpara de pie LED,2,180000,360000,Tienda física
97,2024-11-02,Barranquilla,Tecnología,Portátil Lenovo IdeaPad 3,1,2400000,2400000,Tienda física
98,2025-12-12,Cali,Muebles,Escritorio en L,3,1150000,3450000,Tienda física
99,2024-06-27,Bogotá,Tecnología,Audífonos Sony WH-CH520,1,320000,320000,En línea
100,2025-05-30,Medellín,Muebles,Escritorio en L,1,1150000,1150000,En línea
101,2025-04-14,Cali,Tecnología,Portátil Lenovo IdeaPad 3,1,2400000,2400000,En línea
102,2025-05-02,Bogotá,Tecnología,Audífonos Sony WH-CH520,2,320000,640000,En línea
103,2024-06-21,Medellín,Tecnología,Mouse Logitech M185,3,65000,195000,Tienda física
104,2025-09-27,Bogotá,Tecnología,Teclado mecánico Redragon,1,210000,210000,En línea
105,2025-12-31,Cartagena,Tecnología,Mouse Logitech M185,2,65000,130000,Tienda física
106,2025-07-23,Bogotá,Papelería,Resma papel A4,1,22000,22000,En línea
107,2024-04-17,Bogotá,Hogar,Licuadora Oster Pro,2,310000,620000,Tienda física
108,2025-08-02,Barranquilla,Tecnología,Audífonos Sony WH-CH520,2,320000,640000,En línea
109,2025-09-16,Bogotá,Papelería,Resma papel A4,1,22000,22000,En línea
110,2025-05-28,Barranquilla,Papelería,Resma papel A4,1,22000,22000,En línea
111,2025-06-07,Barranquilla,Hogar,Licuadora Oster Pro,1,310000,310000,Tienda física
112,2025-03-26,Cartagena,Tecnología,Audífonos Sony WH-CH520,5,320000,1600000,En línea
113,2024-12-01,Medellín,Tecnología,Mouse Logitech M185,2,65000,130000,Tienda física
114,2025-09-19,Cali,Tecnología,"Monitor Samsung 24""",5,780000,3900000,Tienda física
115,2025-06-18,Pereira,Muebles,Escritorio en L,3,1150000,3450000,En línea
116,2025-09-06,Medellín,Muebles,Lámpara de pie LED,2,180000,360000,Tienda física
117,2024-08-03,Bogotá,Papelería,Kit marcadores x12,3,35000,105000,Tienda física
118,2024-07-15,Medellín,Muebles,Silla ergonómica,2,890000,1780000,En línea
119,2025-10-12,Cartagena,Tecnología,Audífonos Sony WH-CH520,1,320000,320000,En línea
120,2025-11-03,Bogotá,Hogar,Cafetera Oster 12 tazas,1,240000,240000,Tienda física
121,2024-03-13,Barranquilla,Hogar,Cafetera Oster 12 tazas,2,240000,480000,Tienda física
122,2025-05-04,Bogotá,Muebles,Silla ergonómica,3,890000,2670000,En línea
123,2025-06-08,Medellín,Tecnología,Mouse Logitech M185,2,65000,130000,En línea
124,2024-11-29,Barranquilla,Hogar,Cafetera Oster 12 tazas,1,240000,240000,En línea
125,2024-07-21,Bogotá,Tecnología,Audífonos Sony WH-CH520,1,320000,320000,En línea
126,2025-07-29,Medellín,Tecnología,Audífonos Sony WH-CH520,1,320000,320000,Tienda física
127,2025-12-22,Bogotá,Muebles,Lámpara de pie LED,1,180000,180000,En línea
128,2024-07-02,Cali,Tecnología,Audífonos Sony WH-CH520,1,320000,320000,En línea
129,2025-12-21,Bogotá,Muebles,Lámpara de pie LED,2,180000,360000,Tienda física
130,2024-12-27,Medellín,Papelería,Kit marcadores x12,2,35000,70000,En línea
131,2024-06-02,Medellín,Tecnología,"Monitor Samsung 24""",4,780000,3120000,Tienda física
132,2024-11-14,Bogotá,Tecnología,"Monitor Samsung 24""",2,780000,1560000,En línea
133,2025-02-22,Bogotá,Tecnología,Mouse Logitech M185,5,65000,325000,Tienda física
134,2025-04-01,Cali,Hogar,Sanduchera Black+Decker,1,120000,120000,En línea
135,2024-12-07,Medellín,Papelería,Kit marcadores x12,5,35000,175000,Tienda física
136,2025-04-03,Bogotá,Hogar,Cafetera Oster 12 tazas,4,240000,960000,En línea
137,2025-05-15,Bogotá,Tecnología,Audífonos Sony WH-CH520,1,320000,320000,En línea
138,2024-12-10,Bogotá,Muebles,Lámpara de pie LED,1,180000,180000,Tienda física
139,2025-06-15,Bucaramanga,Muebles,Silla ergonómica,2,890000,1780000,Tienda física
140,2025-04-17,Medellín,Hogar,Licuadora Oster Pro,4,310000,1240000,En línea
141,2025-05-05,Bogotá,Papelería,Kit marcadores x12,3,35000,105000,En línea
142,2024-09-05,Bogotá,Hogar,Cafetera Oster 12 tazas,2,240000,480000,En línea
143,2025-06-05,Medellín,Hogar,Cafetera Oster 12 tazas,4,240000,960000,En línea
144,2024-03-09,Medellín,Tecnología,Portátil Lenovo IdeaPad 3,1,2400000,2400000,En línea
145,2024-03-18,Cali,Papelería,Resma papel A4,3,22000,66000,Tienda física
146,2025-12-31,Bogotá,Hogar,Licuadora Oster Pro,1,310000,310000,Tienda física
147,2024-12-19,Bogotá,Hogar,Licuadora Oster Pro,4,310000,1240000,Tienda física
148,2025-04-25,Medellín,Muebles,Silla ergonómica,1,890000,890000,En línea
149,2025-05-23,Barranquilla,Papelería,Kit marcadores x12,1,35000,35000,En línea
150,2025-12-08,Medellín,Hogar,Sanduchera Black+Decker,2,120000,240000,En línea
151,2024-09-19,Medellín,Papelería,Cuaderno argollado,1,18000,18000,Tienda física
152,2025-05-13,Bogotá,Muebles,Lámpara de pie LED,1,180000,180000,En línea
153,2025-07-25,Bogotá,Hogar,Licuadora Oster Pro,3,310000,930000,En línea
154,2025-12-01,Bogotá,Muebles,Escritorio en L,2,1150000,2300000,Tienda física
155,2025-04-03,Cali,Tecnología,Teclado mecánico Redragon,1,210000,210000,Tienda física
156,2024-03-20,Medellín,Papelería,Cuaderno argollado,4,18000,72000,En línea
157,2025-09-27,Medellín,Muebles,Silla ergonómica,3,890000,2670000,En línea
158,2025-09-29,Cali,Papelería,Cuaderno argollado,1,18000,18000,En línea
159,2025-11-27,Bucaramanga,Muebles,Silla ergonómica,4,890000,3560000,En línea
160,2025-08-22,Medellín,Muebles,Escritorio en L,4,1150000,4600000,Tienda física
161,2024-08-15,Pereira,Tecnología,Teclado mecánico Redragon,2,210000,420000,En línea
162,2024-05-06,Cali,Muebles,Lámpara de pie LED,1,180000,180000,En línea
163,2024-12-12,Barranquilla,Tecnología,Mouse Logitech M185,1,65000,65000,Tienda física
164,2024-07-07,Barranquilla,Hogar,Cafetera Oster 12 tazas,1,240000,240000,Tienda física
165,2025-09-09,Cartagena,Tecnología,Mouse Logitech M185,2,65000,130000,Tienda física
166,2024-12-29,Cali,Tecnología,Portátil Lenovo IdeaPad 3,2,2400000,4800000,Tienda física
167,2025-10-30,Medellín,Muebles,Escritorio en L,2,1150000,2300000,Tienda física
168,2024-11-20,Medellín,Hogar,Licuadora Oster Pro,1,310000,310000,Tienda física
169,2024-10-02,Cartagena,Hogar,Cafetera Oster 12 tazas,2,240000,480000,Tienda física
170,2025-10-18,Barranquilla,Tecnología,Mouse Logitech M185,1,65000,65000,Tienda física
171,2025-10-28,Cali,Tecnología,Portátil Lenovo IdeaPad 3,1,2400000,2400000,Tienda física
172,2025-12-30,Bogotá,Hogar,Cafetera Oster 12 tazas,1,240000,240000,Tienda física
173,2025-10-28,Bucaramanga,Muebles,Escritorio en L,2,1150000,2300000,En línea
174,2025-08-27,Bogotá,Tecnología,Teclado mecánico Redragon,1,210000,210000,En línea
175,2025-02-25,Bogotá,Hogar,Sanduchera Black+Decker,1,120000,120000,Tienda física
176,2025-04-12,Bogotá,Tecnología,Teclado mecánico Redragon,4,210000,840000,En línea
177,2024-07-23,Cartagena,Tecnología,Teclado mecánico Redragon,1,210000,210000,Tienda física
178,2025-05-28,Medellín,Tecnología,Audífonos Sony WH-CH520,1,320000,320000,Tienda física
179,2025-04-28,Cartagena,Muebles,Escritorio en L,1,1150000,1150000,En línea
180,2024-11-05,Cali,Muebles,Silla ergonómica,1,890000,890000,Tienda física
181,2025-12-28,Cali,Tecnología,Teclado mecánico Redragon,5,210000,1050000,En línea
182,2025-02-25,Bogotá,Hogar,Licuadora Oster Pro,3,310000,930000,Tienda física
183,2024-12-30,Cartagena,Papelería,Kit marcadores x12,1,35000,35000,Tienda física
184,2024-10-12,Cali,Hogar,Licuadora Oster Pro,2,310000,620000,Tienda física
185,2025-05-14,Bucaramanga,Hogar,Sanduchera Black+Decker,2,120000,240000,Tienda física
186,2024-09-07,Barranquilla,Muebles,Escritorio en L,2,1150000,2300000,En línea
187,2024-08-26,Bogotá,Hogar,Cafetera Oster 12 tazas,1,240000,240000,En línea
188,2025-12-19,Cartagena,Muebles,Lámpara de pie LED,4,180000,720000,En línea
189,2025-09-21,Barranquilla,Muebles,Silla ergonómica,3,890000,2670000,En línea
190,2024-04-08,Pereira,Papelería,Resma papel A4,1,22000,22000,Tienda física
191,2025-06-30,Cartagena,Papelería,Cuaderno argollado,5,18000,90000,En línea
192,2025-08-22,Medellín,Tecnología,Portátil Lenovo IdeaPad 3,2,2400000,4800000,Tienda física
193,2025-05-24,Pereira,Muebles,Lámpara de pie LED,3,180000,540000,En línea
194,2024-07-07,Cali,Tecnología,Portátil Lenovo IdeaPad 3,4,2400000,9600000,Tienda física
195,2024-06-28,Bucaramanga,Tecnología,"Monitor Samsung 24""",3,780000,2340000,En línea
196,2024-11-19,Medellín,Tecnología,Audífonos Sony WH-CH520,4,320000,1280000,En línea
197,2024-03-23,Medellín,Papelería,Kit marcadores x12,1,35000,35000,Tienda física
198,2025-07-15,Barranquilla,Papelería,Resma papel A4,1,22000,22000,En línea
199,2024-11-23,Medellín,Tecnología,"Monitor Samsung 24""",2,780000,1560000,Tienda física
200,2024-01-26,Pereira,Tecnología,Mouse Logitech M185,1,65000,65000,Tienda física
201,2024-03-25,Pereira,Hogar,Licuadora Oster Pro,2,310000,620000,En línea
202,2024-11-13,Cartagena,Tecnología,Audífonos Sony WH-CH520,1,320000,320000,En línea
203,2025-05-17,Bogotá,Hogar,Licuadora Oster Pro,2,310000,620000,Tienda física
204,2024-07-15,Bogotá,Tecnología,Audífonos Sony WH-CH520,2,320000,640000,Tienda física
205,2024-06-18,Medellín,Tecnología,Audífonos Sony WH-CH520,4,320000,1280000,En línea
206,2025-11-15,Bogotá,Tecnología,Portátil Lenovo IdeaPad 3,4,2400000,9600000,En línea
207,2024-07-20,Bogotá,Tecnología,Audífonos Sony WH-CH520,2,320000,640000,En línea
208,2025-08-22,Bogotá,Tecnología,Teclado mecánico Redragon,1,210000,210000,En línea
209,2025-07-14,Medellín,Muebles,Lámpara de pie LED,3,180000,540000,Tienda física
210,2025-01-10,Pereira,Tecnología,"Monitor Samsung 24""",2,780000,1560000,En línea
211,2025-08-16,Medellín,Papelería,Kit marcadores x12,2,35000,70000,Tienda física
212,2024-02-20,Barranquilla,Muebles,Silla ergonómica,1,890000,890000,En línea
213,2025-11-20,Cali,Tecnología,"Monitor Samsung 24""",1,780000,780000,En línea
214,2024-08-09,Medellín,Hogar,Licuadora Oster Pro,2,310000,620000,Tienda física
215,2025-01-24,Bogotá,Muebles,Silla ergonómica,2,890000,1780000,Tienda física
216,2025-10-13,Barranquilla,Hogar,Licuadora Oster Pro,3,310000,930000,En línea
217,2024-12-11,Medellín,Tecnología,Teclado mecánico Redragon,1,210000,210000,En línea
218,2024-03-22,Medellín,Muebles,Escritorio en L,2,1150000,2300000,En línea
219,2025-11-28,Bogotá,Tecnología,"Monitor Samsung 24""",3,780000,2340000,En línea
220,2025-07-11,Cali,Hogar,Sanduchera Black+Decker,2,120000,240000,Tienda física
221,2024-09-24,Cali,Tecnología,Audífonos Sony WH-CH520,1,320000,320000,Tienda física
222,2025-10-25,Cali,Hogar,Cafetera Oster 12 tazas,5,240000,1200000,En línea
223,2025-03-07,Bogotá,Tecnología,Audífonos Sony WH-CH520,2,320000,640000,En línea
224,2025-10-07,Cali,Tecnología,Mouse Logitech M185,3,65000,195000,Tienda física
225,2025-10-07,Cali,Papelería,Cuaderno argollado,3,18000,54000,Tienda física
226,2024-01-21,Bogotá,Papelería,Resma papel A4,3,22000,66000,En línea
227,2025-06-15,Bogotá,Tecnología,Mouse Logitech M185,1,65000,65000,Tienda física
228,2025-02-25,Cali,Muebles,Escritorio en L,1,1150000,1150000,En línea
229,2025-07-17,Medellín,Tecnología,Audífonos Sony WH-CH520,1,320000,320000,En línea
230,2025-06-28,Bogotá,Hogar,Cafetera Oster 12 tazas,2,240000,480000,En línea
231,2024-05-12,Bogotá,Hogar,Licuadora Oster Pro,2,310000,620000,Tienda física
232,2024-12-25,Barranquilla,Muebles,Escritorio en L,1,1150000,1150000,En línea
233,2024-12-01,Medellín,Tecnología,Teclado mecánico Redragon,2,210000,420000,Tienda física
234,2024-02-05,Bogotá,Tecnología,Mouse Logitech M185,2,65000,130000,En línea
235,2024-06-21,Medellín,Tecnología,Audífonos Sony WH-CH520,1,320000,320000,En línea
236,2025-07-18,Barranquilla,Tecnología,Audífonos Sony WH-CH520,1,320000,320000,En línea
237,2025-09-28,Bucaramanga,Hogar,Sanduchera Black+Decker,1,120000,120000,En línea
238,2024-01-15,Cali,Papelería,Resma papel A4,4,22000,88000,Tienda física
239,2025-06-20,Bogotá,Muebles,Escritorio en L,1,1150000,1150000,En línea
240,2025-09-01,Bucaramanga,Hogar,Licuadora Oster Pro,3,310000,930000,En línea
241,2025-10-07,Cali,Tecnología,Teclado mecánico Redragon,2,210000,420000,En línea
242,2024-09-08,Bogotá,Tecnología,Mouse Logitech M185,1,65000,65000,En línea
243,2024-04-07,Medellín,Muebles,Silla ergonómica,4,890000,3560000,Tienda física
244,2025-09-16,Bogotá,Hogar,Sanduchera Black+Decker,1,120000,120000,En línea
245,2025-03-28,Bogotá,Hogar,Cafetera Oster 12 tazas,2,240000,480000,Tienda física
246,2024-12-29,Medellín,Hogar,Cafetera Oster 12 tazas,3,240000,720000,Tienda física
247,2025-02-23,Bucaramanga,Hogar,Licuadora Oster Pro,2,310000,620000,Tienda física
248,2024-05-07,Medellín,Tecnología,"Monitor Samsung 24""",1,780000,780000,En línea
249,2024-02-16,Medellín,Muebles,Silla ergonómica,1,890000,890000,En línea
250,2025-09-27,Cartagena,Tecnología,"Monitor Samsung 24""",4,780000,3120000,Tienda física
251,2025-01-06,Cartagena,Muebles,Silla ergonómica,2,890000,1780000,Tienda física
252,2024-12-10,Medellín,Hogar,Sanduchera Black+Decker,2,120000,240000,En línea
253,2024-05-07,Bucaramanga,Tecnología,"Monitor Samsung 24""",1,780000,780000,En línea
254,2025-06-23,Bogotá,Muebles,Silla ergonómica,1,890000,890000,En línea
255,2024-12-05,Medellín,Muebles,Lámpara de pie LED,1,180000,180000,En línea
256,2024-11-19,Cartagena,Tecnología,Mouse Logitech M185,2,65000,130000,Tienda física
257,2024-02-25,Bogotá,Tecnología,"Monitor Samsung 24""",2,780000,1560000,Tienda física
258,2025-05-12,Medellín,Papelería,Kit marcadores x12,4,35000,140000,Tienda física
259,2024-04-30,Barranquilla,Tecnología,Mouse Logitech M185,5,65000,325000,En línea
260,2025-03-22,Medellín,Papelería,Resma papel A4,1,22000,22000,Tienda física
261,2025-09-11,Barranquilla,Hogar,Licuadora Oster Pro,3,310000,930000,Tienda física
262,2025-01-20,Medellín,Hogar,Licuadora Oster Pro,1,310000,310000,En línea
263,2024-05-30,Medellín,Tecnología,Audífonos Sony WH-CH520,4,320000,1280000,En línea
264,2024-04-27,Bogotá,Tecnología,"Monitor Samsung 24""",3,780000,2340000,Tienda física
265,2025-09-29,Medellín,Papelería,Kit marcadores x12,1,35000,35000,Tienda física
266,2024-04-21,Cartagena,Tecnología,Mouse Logitech M185,1,65000,65000,Tienda física
267,2025-09-07,Medellín,Tecnología,Audífonos Sony WH-CH520,1,320000,320000,Tienda física
268,2024-07-10,Barranquilla,Muebles,Escritorio en L,1,1150000,1150000,En línea
269,2025-01-26,Medellín,Tecnología,Mouse Logitech M185,3,65000,195000,Tienda física
270,2024-10-24,Medellín,Papelería,Resma papel A4,5,22000,110000,En línea
271,2024-11-03,Cartagena,Muebles,Lámpara de pie LED,5,180000,900000,Tienda física
272,2024-04-28,Bucaramanga,Tecnología,Teclado mecánico Redragon,2,210000,420000,Tienda física
273,2024-03-28,Bogotá,Hogar,Sanduchera Black+Decker,4,120000,480000,Tienda física
274,2024-08-07,Medellín,Papelería,Kit marcadores x12,1,35000,35000,Tienda física
275,2024-06-28,Bogotá,Muebles,Silla ergonómica,1,890000,890000,En línea
276,2025-01-02,Medellín,Tecnología,Teclado mecánico Redragon,5,210000,1050000,En línea
277,2025-12-02,Cartagena,Hogar,Sanduchera Black+Decker,2,120000,240000,En línea
278,2024-08-19,Bogotá,Hogar,Sanduchera Black+Decker,2,120000,240000,Tienda física
279,2024-12-09,Bogotá,Tecnología,Portátil Lenovo IdeaPad 3,1,2400000,2400000,Tienda física
280,2025-02-08,Bogotá,Hogar,Cafetera Oster 12 tazas,2,240000,480000,En línea
281,2024-08-31,Cartagena,Tecnología,Portátil Lenovo IdeaPad 3,1,2400000,2400000,En línea
282,2024-04-04,Bogotá,Papelería,Kit marcadores x12,2,35000,70000,En línea
283,2024-07-13,Cali,Tecnología,Audífonos Sony WH-CH520,1,320000,320000,En línea
284,2024-11-24,Pereira,Hogar,Licuadora Oster Pro,1,310000,310000,En línea
285,2025-01-20,Cali,Muebles,Silla ergonómica,5,890000,4450000,En línea
286,2024-12-19,Bogotá,Hogar,Licuadora Oster Pro,5,310000,1550000,En línea
287,2025-08-21,Cali,Tecnología,Mouse Logitech M185,3,65000,195000,Tienda física
288,2025-07-09,Cali,Tecnología,Mouse Logitech M185,1,65000,65000,Tienda física
289,2024-05-26,Barranquilla,Hogar,Cafetera Oster 12 tazas,2,240000,480000,Tienda física
290,2025-09-09,Medellín,Tecnología,"Monitor Samsung 24""",3,780000,2340000,En línea
291,2024-02-04,Pereira,Tecnología,Audífonos Sony WH-CH520,1,320000,320000,En línea
292,2025-12-27,Barranquilla,Muebles,Lámpara de pie LED,1,180000,180000,En línea
293,2024-10-16,Medellín,Hogar,Sanduchera Black+Decker,4,120000,480000,En línea
294,2024-10-24,Bucaramanga,Papelería,Kit marcadores x12,3,35000,105000,En línea
295,2025-12-20,Bucaramanga,Muebles,Silla ergonómica,2,890000,1780000,En línea
296,2025-08-31,Cali,Hogar,Cafetera Oster 12 tazas,1,240000,240000,Tienda física
297,2025-02-05,Cali,Tecnología,Mouse Logitech M185,1,65000,65000,En línea
298,2025-03-28,Medellín,Muebles,Escritorio en L,2,1150000,2300000,En línea
299,2025-10-26,Bogotá,Tecnología,Mouse Logitech M185,5,65000,325000,Tienda física
300,2025-12-09,Medellín,Tecnología,"Monitor Samsung 24""",2,780000,1560000,Tienda física
301,2025-05-30,Cali,Papelería,Resma papel A4,1,22000,22000,Tienda física
302,2024-01-27,Medellín,Tecnología,"Monitor Samsung 24""",3,780000,2340000,En línea
303,2025-02-26,Pereira,Hogar,Licuadora Oster Pro,2,310000,620000,En línea
304,2025-07-30,Medellín,Muebles,Lámpara de pie LED,2,180000,360000,Tienda física
305,2024-07-19,Medellín,Tecnología,"Monitor Samsung 24""",3,780000,2340000,En línea
306,2025-02-21,Medellín,Tecnología,Teclado mecánico Redragon,1,210000,210000,Tienda física
307,2024-08-18,Bogotá,Papelería,Resma papel A4,2,22000,44000,Tienda física
